brand,title,date,accords,rating_score,votes,longevity_poor,longevity_weak,longevity_moderate,longevity_long,longevity_very_long,sillage_soft,sillage_moderate,sillage_heavy,sillage_enormous,clslove,clslike,clsdislike,clswinter,clsspring,clssummer,clsautumn,clscold,clshot,clsday,clsnight,clslove_female25under,clslove_male25under,clslove_female25older,clslove_male25older,clslike_female25under,clslike_male25under,clslike_female25older,clslike_male25older,clsdislike_female25under,clsdislike_male25under,clsdislike_female25older,clsdislike_male25older,clswinter_female25under,clswinter_male25under,clswinter_female25older,clswinter_male25older,clsspring_female25under,clsspring_male25under,clsspring_female25older,clsspring_male25older,clssummer_female25under,clssummer_male25under,clssummer_female25older,clssummer_male25older,clsautumn_female25under,clsautumn_male25under,clsautumn_female25older,clsautumn_male25older,clsday_female25under,clsday_male25under,clsday_female25older,clsday_male25older,clsnight_female25under,clsnight_male25under,clsnight_female25older,clsnight_male25older,Ihaveit,Ihadit,Iwantit,notes_1,notes_2,notes_3,notes_4,notes_5,notes_6,notes_7,notes_8,notes_9,notes_10,notes_11,notes_12,notes_13,notes_14,notes_15,notes_16,notes_17,notes_18,notes_19,notes_20,gender
Essenzialmente-Laura,Lavambra Essenzialmente Laura for women and men,0,"amber,aromatic,fresh spicy,floral,animalic",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,3,Top1Amber,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,women
12-Parfumeurs-Francais,Le Roi Soleil 12 Parfumeurs Francais for men,2018,"citrus,leather,woody,aromatic,animalic,Pictures",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Grapefruit,Middle0Pepper,Middle1Leather,Base0Vetiver,Base1Patchouli,Base2Incense,,,,,,,,,,,,,,,
Roger-Vivier,Le Santal Roger Vivier for women,2010,"woody,balsamic,powdery,warm spicy,green,Pictures",5,1,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,0,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Virginia Cedar,Top2Papyrus,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,women
Miller-Harris,Leather Rouge Miller Harris for women and men,2019,"powdery,floral,leather,warm spicy,woody,Pictures",4,1,0,0,0,1,0,1,1,0,1,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,Top1Raspberry,Top2Saffron,Middle0Red Rose,Middle1Orris,Middle2Violet,Base0Patchouli,Base1Leather,Base2Amber,,,,,,,,,,,,,women
Roger-Vivier,Le Neroli Roger Vivier for women,2010,"white floral,citrus,narcotic,fresh,floral,fresh spicy,Pictures",5,1,0,0,0,0,0,0,1,0,0,100,1,1,100,100,100,100,0,0,100,100,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Urban-Rituelle,Lemongrass Blend Urban Rituelle for women and men,0,"citrus,fresh spicy,aromatic,herbal,fresh",5,1,0,1,0,0,0,0,1,0,0,100,1,1,1,1,1,100,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,2,0,0,Top1Myrtle,Top2Grapefruit,Top3Eucalyptus,Middle0nan,Base0nan,,,,,,,,,,,,,,,,women
The-Merchant-of-Venice,Lemon Splash The Merchant of Venice for women and men,0,"citrus,green,aromatic,fresh,sour",1,1,0,0,0,0,0,0,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Stephanie-de-Bruijn-Parfum-sur-Mesure,Le Pret-a-Parfumer Yin: Floral Water Stephanie de Bruijn - Parfum sur Mesure for women,2008,"fruity,woody,aromatic,floral,green,sweet",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,Top1Jasmine,Top2Lily-of-the-Valley,Top3Red Apple,Top4Pear,Top5Litchi,Top6Peach,Top7Coriander,Top8Rose,Top9Sandalwood,Top10Vetiver,Top11Musk,Middle0nan,Base0nan,,,,,,,,women
Lonkoom-Parfum,Lenience Lonkoom Parfum for women,2015,"citrus,white floral,vanilla,musky,floral,Pictures",1,1,0,0,0,0,0,0,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Top1Grapefruit,Top2Bergamot,Top3Pink Pepper,Middle0Tuberose,Middle1Jasmine,Middle2Ylang-Ylang,Middle3Lily-of-the-Valley,Middle4Osmanthus,Base0Patchouli,Base1Musk,Base2Vanilla,,,,,,,,,,women
Mathias-Paris,L'Eau de Lavender Mathias Paris for women and men,1998,"aromatic,fresh spicy,floral,herbal,sweet",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
J-Lesquendieu,Lesquendieu J. Lesquendieu for women and men,1900,,4,1,0,0,0,0,0,0,0,0,1,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Laurelle-London,Les Couleurs No.4 Laurelle London for men,2015,"citrus,amber,cinnamon,warm spicy,animalic,leather",1,1,0,0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Top1Blood Orange,Middle0Cinnamon,Middle1Mint,Base0Leather,Base1Amber,,,,,,,,,,,,,,,,
Laurelle-London,Les Couleurs No.1 Laurelle London for men,2015,"fresh spicy,woody,balsamic,patchouli,amber",1,1,1,0,0,0,0,1,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Patchouli,Middle0Ginger,Middle1Nutmeg,Middle2Pink Pepper,Base0Sandalwood,Base1Cedar,,,,,,,,,,,,,,,
Boitown-,Lâ€™eau de Lâ€™eau Boitown å†°å¸Œé»Ž  for women and men,2017,"green,fruity,white floral,woody,musky,floral",1,1,0,0,0,0,0,0,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Top1Fruity Notes,Top2Apple,Middle0violet leaves,Middle1Lily-of-the-Valley,Middle2Jasmine,Base0Cedar,Base1Musk,,,,,,,,,,,,,,women
Sapientiae-Niche,Lemonice Sapientiae Niche for women and men,2017,"citrus,aromatic,fresh spicy,green,musky,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,0,0,1,Top1Myrtle,Top2Lemon,Top3Almond,Middle0Neroli,Middle1Grapefruit,Middle2Mint,Base0Cedar,Base1Musk,,,,,,,,,,,,,women
Ramon-Monegal,L'Eau Invisible Ramon Monegal for women and men,2010,"citrus,fresh spicy,aromatic,green,beeswax,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,1,Top1Beeswax,Top2Coriander,Top3Mate,Top4Neroli,Top5Orange,Top6Isobutyl Quinoline,Middle0nan,Base0nan,,,,,,,,,,,,,women
Ramon-Monegal,L'Eau de Cologne Ramon Monegal for women and men,2010,"citrus,aromatic,musky,amber,warm spicy,fresh spicy,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,0,Top1Cloves,Top2Mandarin Orange,Top3Petitgrain,Top4Rosemary,Top5White Musk,Middle0nan,Base0nan,,,,,,,,,,,,,,women
Frais-Monde,Leaves Frais Monde for women and men,0,green,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Cottoncake,L'Eau Coco Cottoncake for women and men,2018,"sweet,white floral,coconut,green,milky,Pictures",0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,0,0,6,Top1Jasmine,Middle0Orchid,Base0Coconut,Base1Whipped cream,,,,,,,,,,,,,,,,,women
Reims,L'Eau des Sacres Reims for women and men,2016,"aromatic,sweet,balsamic,honey,rose,woody,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,1,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,3,Top1Lavender,Top2Orange Blossom,Top3Honey,Top4Rose,Top5Tonka Bean,Top6Sandalwood,Top7Ambergris,Middle0nan,Base0nan,,,,,,,,,,,,women
